customer_id,customer_name,city,region,segment,acquisition_channel,signup_date
CUST00001,Aarav Gupta,Bengaluru,South,Consumer,Paid Search,2023-10-13
CUST00002,Nisha Kumar,Bengaluru,South,Enterprise,Referral,2023-03-07
CUST00003,Aditya Menon,Chennai,South,Consumer,Email,2023-02-24
CUST00004,Karthik Shah,Coimbatore,South,SMB,Paid Search,2025-07-08
CUST00005,Naveen Sharma,Jaipur,North,Consumer,Partner,2025-05-15
CUST00006,Naveen Reddy,Pune,West,Consumer,Social,2023-07-29
CUST00007,Kavya Iyer,Bengaluru,South,SMB,Social,2024-06-25
CUST00008,Meera Shah,Chennai,South,Consumer,Referral,2023-06-11
CUST00009,Sanjay Chopra,Coimbatore,South,SMB,Email,2024-01-29
CUST00010,Vivaan Singh,Bengaluru,South,SMB,Organic,2024-04-21
CUST00011,Kavya Gupta,Bengaluru,South,SMB,Partner,2025-01-17
CUST00012,Ananya Joshi,Hyderabad,South,Consumer,Partner,2024-06-30
CUST00013,Sneha Nair,Bengaluru,South,Enterprise,Partner,2024-05-16
CUST00014,Meera Verma,Hyderabad,South,SMB,Partner,2024-03-25
CUST00015,Vivaan Singh,Pune,West,Consumer,Social,2025-04-01
CUST00016,Aditya Menon,Delhi,North,Enterprise,Partner,2024-10-06
CUST00017,Pooja Verma,Mumbai,West,Enterprise,Referral,2023-10-20
CUST00018,Rohan Singh,Delhi,North,Enterprise,Email,2024-06-22
CUST00019,Divya Bose,Jaipur,North,SMB,Social,2024-03-25
CUST00020,Shreya Naidu,Hyderabad,South,Consumer,Organic,2023-08-13
CUST00021,Rahul Kapoor,Hyderabad,South,Enterprise,Organic,2025-02-27
CUST00022,Sneha Pillai,Kolkata,East,Enterprise,Social,2023-01-24
CUST00023,Nisha Gupta,Bengaluru,South,Enterprise,Social,2023-08-17
CUST00024,Divya Nair,Delhi,North,SMB,Organic,2024-06-23
CUST00025,Rahul Mishra,Coimbatore,South,Consumer,Partner,2024-09-03
CUST00026,Sneha Menon,Coimbatore,South,Consumer,Social,2023-11-27
CUST00027,Shreya Sharma,Coimbatore,South,Enterprise,Social,2025-09-27
CUST00028,Arjun Joshi,Chennai,South,SMB,Paid Search,2023-04-29
CUST00029,Aishwarya Kumar,Mumbai,West,Consumer,Partner,2025-09-22
CUST00030,Nisha Reddy,Bengaluru,South,Consumer,Partner,2025-08-31
CUST00031,Rahul Gupta,Coimbatore,South,Enterprise,Email,2025-05-16
CUST00032,Nisha Menon,Mumbai,West,Enterprise,Social,2025-03-28
CUST00033,Meera Mishra,Pune,West,SMB,Organic,2024-05-22
CUST00034,Aditya Das,Mumbai,West,Consumer,Email,2024-04-16
CUST00035,Vikram Sharma,Jaipur,North,Consumer,Partner,2023-05-01
CUST00036,Aditya Patel,Mumbai,West,SMB,Organic,2024-05-02
CUST00037,Pooja Menon,Delhi,North,Enterprise,Paid Search,2025-08-26
CUST00038,Pooja Kapoor,Mumbai,West,Consumer,Organic,2023-07-18
CUST00039,Ananya Kapoor,Kolkata,East,SMB,Referral,2023-04-21
CUST00040,Vivaan Verma,Bengaluru,South,Enterprise,Social,2023-08-12
CUST00041,Karthik Menon,Mumbai,West,Enterprise,Referral,2023-10-15
CUST00042,Rahul Gupta,Kolkata,East,SMB,Paid Search,2023-06-04
CUST00043,Nisha Iyer,Ahmedabad,West,Consumer,Partner,2023-01-31
CUST00044,Vikram Nair,Bengaluru,South,SMB,Referral,2025-09-12
CUST00045,Kavya Patel,Mumbai,West,Consumer,Referral,2023-01-05
CUST00046,Naveen Pillai,Kolkata,East,SMB,Referral,2025-09-23
CUST00047,Karthik Rao,Hyderabad,South,Consumer,Organic,2023-05-05
